Volatiles,No,RI,Rt,Dt
Alcohols,1,788.2,243.833,1.47812
Alcohols,2,636.0,135.751,1.18694
Alcohols,3,636.0,135.751,1.3919
Alcohols,4,494.6,73.316,1.1322
Alcohols,5,563.3,103.666,1.13521
Ketones,6,819.4,278.786,1.41817
Ketones,7,749.0,209.743,1.15892
Ketones,8,700.2,168.748,1.33575
Ketones,9,581.5,111.712,1.16481
Ketones,10,699.7,168.296,1.20064
Esters,11,704.2,172.094,1.45624
Esters,12,704.7,172.513,1.56849
Esters,13,487.6,70.233,1.18708
Esters,14,512.5,81.222,1.05041
Esters,15,676.9,153.81,1.17927
Aldehydes,16,752.1,212.332,1.33875
Aldehydes,17,688.8,159.123,1.16947
Aldehydes,18,614.7,126.38,1.17625
Furan,19,584.5,113.047,1.25448
Furan,20,673.1,152.158,1.3362
Alkanes,21,751.1,211.469,1.71339
Alkanes,22,700.7,169.162,1.10715
Amines,23,487.5,70.21,1.07889
Acids,24,576.2,109.375,1.08213
Thiazoles,25,712.5,179.104,1.27281
Pyrazines,26,903.9,378.899,1.48561
Others,27,647.9,141.018,1.12732
Others,28,694.5,163.927,1.25981
Others,29,531,89.417,1.12637
Others,30,787.9,243.401,1.15443
Others,31,683.2,156.598,1.06786