Male,高中及以下,63.0
Male,高中及以下,64.0
Male,高中及以下,60.0
Male,高中及以下,63.0
Male,高中及以下,66.0
Male,高中及以下,65.0
Male,高中及以下,61.0
Male,高中及以下,62.0
Male,高中及以下,68.0
Male,大学本科,66.5
Male,大学本科,67.0
Male,大学本科,69.5
Male,大学本科,70.0
Male,大学本科,69.0
Male,大学本科,71.5
Male,大学本科,67.0
Male,大学本科,68.5
Male,大学本科,63.5
Male,研究生及以上,88.0
Male,研究生及以上,89.0
Male,研究生及以上,86.0
Male,研究生及以上,92.0
Male,研究生及以上,90.0
Male,研究生及以上,84.0
Male,研究生及以上,91.0
Male,研究生及以上,87.0
Male,研究生及以上,88.0
Male,研究生及以上,85.0
Female,高中及以下,65.0
Female,高中及以下,66.0
Female,高中及以下,61.0
Female,高中及以下,64.0
Female,高中及以下,69.0
Female,高中及以下,70.0
Female,高中及以下,67.0
Female,高中及以下,63.0
Female,高中及以下,63.0
Female,高中及以下,66.0
Female,大学本科,70.0
Female,大学本科,71.0
Female,大学本科,66.0
Female,大学本科,69.0
Female,大学本科,74.0
Female,大学本科,73.0
Female,大学本科,72.0
Female,大学本科,68.0
Female,大学本科,65.0
Female,大学本科,64.0
Female,研究生及以上,82.0
Female,研究生及以上,83.0
Female,研究生及以上,88.0
Female,研究生及以上,91.0
Female,研究生及以上,90.0
Female,研究生及以上,86.0
Female,研究生及以上,84.0
Female,研究生及以上,80.0
Female,研究生及以上,85.0
Female,研究生及以上,76.0